Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,8965006,-,-,-,-23.54,-46.65,0,770,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Wind Speed,,,1259.5,1566.5,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,13,0,102,936,966,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,14,0,528,825,309,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,15,0,563,822,260,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,16,0,556,816,265,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,17,0,120,983,950,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,18,0,406,479,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,19,0,120,614,802,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,20,0,98,379,674,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,21,0,65,147,411,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,9,0,35,71,329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,10,0,70,293,682,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,11,0,88,533,832,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,12,0,100,753,910,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,13,0,113,927,945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,14,0,128,1043,956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,15,0,144,1088,945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,16,0,408,987,590,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,17,0,474,534,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,18,0,457,572,148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,19,0,287,591,492,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,20,0,101,378,664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,21,0,62,147,424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,7,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
